id	uri
3481730	<http://wikidata.dbpedia.org/ontology/Coach>
3481982	<http://wikidata.dbpedia.org/ontology/College>
3481729	<http://wikidata.dbpedia.org/ontology/CollegeCoach>
3482061	<http://wikidata.dbpedia.org/ontology/Colour>
3481683	<http://wikidata.dbpedia.org/ontology/Comedian>
3482066	<http://wikidata.dbpedia.org/ontology/ComedyGroup>
3481508	<http://wikidata.dbpedia.org/ontology/Comic>
3481733	<http://wikidata.dbpedia.org/ontology/ComicsCharacter>
3481524	<http://wikidata.dbpedia.org/ontology/ComicsCreator>
3481963	<http://wikidata.dbpedia.org/ontology/ComicStrip>
3481579	<http://wikidata.dbpedia.org/ontology/Company>
3482135	<http://wikidata.dbpedia.org/ontology/ConcentrationCamp>
3481682	<http://wikidata.dbpedia.org/ontology/Congressman>
3481924	<http://wikidata.dbpedia.org/ontology/Conifer>
3482178	<http://wikidata.dbpedia.org/ontology/Constellation>
3482165	<http://wikidata.dbpedia.org/ontology/Continent>
3481809	<http://wikidata.dbpedia.org/ontology/Convention>
3481856	<http://wikidata.dbpedia.org/ontology/Country>
3482068	<http://wikidata.dbpedia.org/ontology/Crater>
3481786	<http://wikidata.dbpedia.org/ontology/Cricketer>
3482023	<http://wikidata.dbpedia.org/ontology/CricketGround>
3482158	<http://wikidata.dbpedia.org/ontology/CricketLeague>
3481773	<http://wikidata.dbpedia.org/ontology/CricketTeam>
3481920	<http://wikidata.dbpedia.org/ontology/Criminal>
3481978	<http://wikidata.dbpedia.org/ontology/Crustacean>
3481693	<http://wikidata.dbpedia.org/ontology/CultivatedVariety>
3481929	<http://wikidata.dbpedia.org/ontology/Curler>
3482182	<http://wikidata.dbpedia.org/ontology/CurlingLeague>
3481922	<http://wikidata.dbpedia.org/ontology/Currency>
3481936	<http://wikidata.dbpedia.org/ontology/Cycad>
3482052	<http://wikidata.dbpedia.org/ontology/CyclingRace>
3482075	<http://wikidata.dbpedia.org/ontology/CyclingTeam>
3481889	<http://wikidata.dbpedia.org/ontology/Cyclist>
3481848	<http://wikidata.dbpedia.org/ontology/Dam>
3481837	<http://wikidata.dbpedia.org/ontology/DartsPlayer>
3482059	<http://wikidata.dbpedia.org/ontology/Database>
3481621	<http://wikidata.dbpedia.org/ontology/Device>
3481917	<http://wikidata.dbpedia.org/ontology/Diocese>
3481874	<http://wikidata.dbpedia.org/ontology/Disease>
3481727	<http://wikidata.dbpedia.org/ontology/Drug>
3482034	<http://wikidata.dbpedia.org/ontology/Earthquake>
3482030	<http://wikidata.dbpedia.org/ontology/Economist>
